timestamp,open,high,low,close
2007-02-12,636.06,636.94,634.47,635.35
2007-02-09,637.78,638.53,637.37,638.28
2007-02-08,636.0,636.09,633.01,634.64
2007-02-07,634.09,637.98,633.82,636.95
2007-02-06,634.78,636.97,634.12,634.63
2007-02-05,630.41,632.89,630.02,631.79
2007-02-02,632.6,632.63,629.94,631.09
2007-02-01,628.78,630.03,627.51,628.22
2007-01-31,622.67,623.32,619.75,620.31
2007-01-30,623.58,625.01,622.99,624.2
2007-01-29,623.64,625.37,623.1,623.99
2007-01-26,625.38,627.14,622.8,622.8
2007-01-25,632.07,632.07,626.21,626.93
2007-01-24,629.8,632.09,629.48,631.48
2007-01-23,620.13,622.8,618.92,622.76
2007-01-22,625.98,626.32,621.58,621.84
2007-01-19,619.62,624.33,618.95,623.72
2007-01-18,622.89,625.72,620.46,621.03
2007-01-17,621.0,621.61,616.35,620.45
2007-01-16,626.45,626.51,620.64,621.57
2007-01-12,622.2,623.9,620.43,623.9
2007-01-11,615.62,623.31,613.02,623.01
2007-01-10,615.75,618.13,615.71,616.07
2007-01-09,621.47,621.64,619.04,619.61
2007-01-08,623.1,623.87,618.7,619.42
2007-01-05,626.89,627.44,622.01,622.01
2007-01-04,628.0,630.1,626.4,628.7
2007-01-03,631.08,632.2,629.75,631.9
2006-12-29,621.91,622.09,621.05,622.08
2006-12-28,623.8,624.86,623.62,624.09
2006-12-27,622.29,624.52,621.38,624.52
2006-12-26,619.0,619.0,619.0,619.0
2006-12-22,618.3,619.04,618.22,619.0
2006-12-21,618.25,618.71,617.12,618.37
2006-12-20,622.18,622.22,619.79,619.86
2006-12-19,620.89,622.87,619.2,620.39
2006-12-18,625.68,626.39,624.01,624.74
2006-12-15,624.82,627.14,624.33,626.0
2006-12-14,620.4,623.06,620.32,622.8
2006-12-13,617.14,619.66,617.13,619.25
2006-12-12,614.7,616.48,614.6,615.64
2006-12-11,615.94,616.48,614.71,615.98
2006-12-08,613.46,615.71,611.65,615.24
2006-12-07,611.54,614.53,611.39,613.15
2006-12-06,608.88,609.78,606.81,609.03
2006-12-05,606.18,609.74,604.71,608.64
2006-12-04,602.48,605.81,602.19,605.04
2006-12-01,606.6,608.51,598.52,602.15
2006-11-30,609.41,610.89,604.39,604.88
2006-11-29,605.95,609.86,605.0,608.44
2006-11-28,603.51,604.15,601.18,602.59
2006-11-27,609.38,610.05,605.01,605.01
2006-11-24,608.66,613.42,608.07,612.21
2006-11-22,621.52,621.52,614.63,616.03
2006-11-21,622.77,622.84,619.97,620.26
2006-11-20,616.63,621.89,616.07,620.45
2006-11-17,622.29,622.8,617.89,619.2
2006-11-16,623.77,625.68,622.76,625.49
2006-11-15,620.86,622.98,620.02,622.98
2006-11-14,618.57,620.82,616.73,618.66
2006-11-13,620.65,620.65,617.19,619.42
2006-11-10,622.82,623.05,619.86,620.84
2006-11-09,622.21,623.15,620.51,623.15
2006-11-08,621.54,624.31,620.76,623.9
2006-11-07,623.26,624.45,622.48,624.4
2006-11-06,619.2,622.45,619.01,622.45
2006-11-03,614.5,617.73,613.4,614.81
2006-11-02,614.84,617.2,611.29,614.93
2006-11-01,615.98,618.07,614.77,614.96
2006-10-31,613.27,614.59,612.36,612.92
2006-10-30,612.15,614.24,611.29,612.68
2006-10-27,615.94,616.46,613.27,616.09
2006-10-26,621.51,622.71,617.97,618.48
2006-10-25,620.52,621.6,619.98,621.46
2006-10-24,616.64,618.69,616.13,618.25
2006-10-23,614.61,618.11,612.91,616.61
2006-10-20,617.26,617.53,613.43,615.52
2006-10-19,614.54,618.35,614.54,615.6
2006-10-18,612.81,616.68,612.17,615.04
2006-10-17,614.88,615.48,610.58,610.86
2006-10-16,618.18,618.43,616.91,617.24
2006-10-13,614.4,617.05,613.35,615.73
2006-10-12,608.91,612.17,608.91,612.13
2006-10-11,604.78,608.19,604.47,607.35
2006-10-10,605.48,607.63,604.71,607.27
2006-10-09,603.43,603.95,602.01,603.09
2006-10-06,600.21,600.67,597.81,600.12
2006-10-05,599.83,601.26,598.28,600.45
2006-10-04,596.53,596.91,594.79,596.65
2006-10-03,592.68,593.71,589.73,593.71
